Node, generations
Node 5914, 205.2302615081971
Node 4069, 175.71654856057455
Node 5852, 204.6293377737687
Node 3850, 163.4378922099177
Node 3243, 129.36249042589526
Node 1359, 29.16561963648838
Node 5810, 204.18072335053193
Node 5793, 204.04032933027472
Node 6580, 231.66870079561488
Node 6366, 214.5759560520452
Node 6038, 206.63668885630184
Node 3276, 131.73479132294892
Node 1899, 59.12862127945356
Node 3739, 157.91015685078804
Node 2770, 104.56667020737324
Node 6162, 208.7093122039214
Node 3199, 126.9285373341126
Node 3152, 124.48737653203928
Node 1314, 24.831730931501532
Node 1246, 18.99487735118926
Node 3150, 124.34135618121918
Node 6372, 214.93695032629142
Node 1387, 30.874293976593048
Node 5887, 204.93977948272578
Node 4111, 178.04664809157094
Node 1191, 14.204411666095401
Node 7163, 1053.1793328843394
Node 7129, 799.8096325698091
Node 7006, 483.60672177270953
Node 6652, 240.3363906572799
Node 6425, 217.80637240494357
Node 2362, 83.73951147761498
Node 3473, 142.88247687291135
Node 1357, 29.03626511557453
Node 1174, 13.026538524332127
Node 1110, 7.914763876211817
Node 2425, 86.73578569138667
Node 6518, 224.97279193662663
Node 6173, 208.87367079156294
Node 5911, 205.20772146299768
Node 2948, 114.00121830293938
Node 2725, 102.26443130724576
Node 5358, 201.70027065443819
Node 2058, 66.58178764404846
Node 1466, 36.07301853933842
Node 3617, 150.09914878962235
Node 1162, 12.533053879981848
Node 6246, 211.12207330421307
Node 5768, 203.8491639972879
Node 3271, 131.49578764635902
Node 1915, 59.88622258537812
Node 4322, 189.60872973861754
Node 1061, 0.7368375006389809
Node 2435, 87.02122363889842
Node 2339, 82.88560968321622
Node 1158, 12.17093208527197
Node 6058, 206.8357655912328
Node 5937, 205.51695054313083
Node 2350, 83.2907115737395
Node 5592, 202.69228869136478
Node 4855, 200.4795811535374
Node 6789, 276.2297699305522
Node 6478, 221.06983642579286
Node 5906, 205.16745254386717
Node 2146, 71.7935193087085
Node 5748, 203.65660475887321
Node 5617, 202.82629318615966
Node 5597, 202.71612700716832
Node 2021, 64.86699412564407
Node 6362, 214.47117777809632
Node 4080, 176.24486344327823
Node 6197, 209.42498140504443
Node 5936, 205.5164067049903
Node 5286, 201.49092928119515
Node 5137, 201.11016691138573
Node 2487, 90.51543961228612
Node 1660, 46.6088371940003
Node 6028, 206.50885453415447
Node 5413, 201.8963263934222
Node 1783, 52.5445632726962
Node 1475, 36.76607415702425
Node 1489, 37.732960682704665
Node 3651, 152.2739937405335
Node 3048, 119.91282947307135
Node 2918, 112.27855875331164
Node 2910, 112.15179527135031
Node 5993, 206.15449182574756
Node 6651, 239.38376532080537
Node 2651, 98.98855159310267
Node 1891, 58.81568563104292
Node 6127, 208.1130829417574
Node 4935, 200.6369382970352
Node 4581, 200.0886635670838
Node 4390, 193.44287371503518
Node 1389, 31.061509964496274
Node 4298, 188.55354448993612
Node 7125, 763.2680211586364
Node 6986, 462.3480426489727
Node 6515, 224.78124410577436
Node 6462, 220.06465355103452
Node 5214, 201.29708265946311
Node 1579, 42.93375262853974
Node 5902, 205.12935637377333
Node 5152, 201.13519153841244
Node 5771, 203.89170479049668
Node 3442, 141.04844542407318
Node 2520, 92.77095638996826
Node 2510, 92.28056732170397
Node 1559, 41.73084629196593
Node 2468, 89.17660109900646
Node 5441, 202.01459781334702
Node 2212, 75.27523882312893
Node 6498, 222.62005711043236
Node 6318, 213.29711405936774
Node 2609, 97.11418299021207
Node 1224, 17.007429677452773
Node 2358, 83.63336785311672
Node 1250, 19.11767154796392
Node 6298, 212.65674141906752
Node 5946, 205.5735820712244
Node 5915, 205.2320204830368
Node 4969, 200.70836152504083
Node 5707, 203.3865191997571
Node 5347, 201.66397111471514
Node 1860, 57.157001859741726
Node 2177, 73.06949539153526
Node 1156, 12.14544538551663
Node 5356, 201.6954748979865
Node 1267, 21.086337384357133
Node 5958, 205.78748708525924
Node 3047, 119.8822369350959
Node 2732, 102.7506984396759
Node 1836, 55.83428253359285
Node 4354, 191.26510242067226
Node 1179, 13.3374875481027
Node 6827, 294.9103088775478
Node 6333, 213.63048629394802
Node 1161, 12.429502569617792
Node 6624, 236.11852100780746
Node 6242, 210.96833119090087
Node 6233, 210.55323857597352
Node 5969, 205.89620242680562
Node 1722, 49.606050663356314
Node 1382, 30.74348507328794
Node 5814, 204.20076666759448
Node 4095, 177.40834969722778
Node 5510, 202.3457071527349
Node 3875, 164.7572614635306
Node 6339, 213.72910531105242
Node 5433, 201.98551053823047
Node 2652, 99.04042454190649
Node 3564, 147.6260731036197
Node 2645, 98.79090797640534
Node 1099, 6.949106026998745
Node 2504, 91.95957031932025
Node 2780, 105.33520027408322
Node 6309, 213.1135632113238
Node 5589, 202.68771866438263
Node 5148, 201.12698448360536
Node 2153, 71.98828323702831
Node 1929, 60.540517569032474
Node 1118, 8.651063096349127
Node 2610, 97.14312535475403
Node 1325, 25.75507554391367
Node 6161, 208.68492657695498
Node 1507, 38.835894760556684
Node 7096, 677.1945800362397
Node 6872, 331.843752700811
Node 6535, 226.81841940734313
Node 6323, 213.45248808285726
Node 5329, 201.63238135411214
Node 4940, 200.64690768554777
Node 4836, 200.4566416167223
Node 2112, 69.7198680085566
Node 1147, 11.51942934176656
Node 4851, 200.47380463851408
Node 6293, 212.46997410020944
Node 3112, 122.5988478668723
Node 5778, 203.9210467924615
Node 2079, 67.67804816856844
Node 1640, 45.87961302433864
Node 6411, 216.9871296809107
Node 4059, 175.1861646221898
Node 2043, 65.57922591754705
Node 5405, 201.87063940473624
Node 3937, 167.65099936556206
Node 2165, 72.42768890848049
Node 6834, 298.82598479818574
Node 6346, 213.9776333410015
Node 1780, 52.44753445461637
Node 1696, 48.30370284000137
Node 6800, 281.5116555226505
Node 6764, 268.75661306466674
Node 6600, 234.2850508081378
Node 6300, 212.7983801391332
Node 6147, 208.37711919995076
Node 1195, 14.43320477326769
Node 5488, 202.21648668905303
Node 5043, 200.87399692161222
Node 2528, 93.3024258068728
Node 1138, 10.741741813727169
Node 1145, 11.25984004588394
Node 4870, 200.50043016575327
Node 1268, 21.21188571055833
Node 1193, 14.324602194599121
Node 4814, 200.4206526811923
Node 1227, 17.286834396050654
Node 2551, 94.8625465031288
Node 2500, 91.61272336588192
Node 1553, 41.496217496686995
Node 5084, 200.98385730596794
Node 2482, 90.35003246174908
Node 1367, 29.616376774249556
Node 3088, 121.8046283995271
Node 6190, 209.29288731705572
Node 6138, 208.30567634429008
Node 3382, 137.765977075043
Node 3203, 127.08705505665903
Node 6496, 222.56237858165332
Node 5774, 203.90712275980636
Node 4141, 179.67849906202096
